Axis,Type,Start,End,Duration
Axis #2,Error,2615.288,2961.274,345.9859999999999
Axis #2,Error,2615.288,2963.171,347.8829999999998
Axis #2,Error,2615.288,2965.171,349.8829999999998
Axis #2,Error,2615.288,2967.149,351.8609999999999
Axis #2,Error,2615.288,2969.138,353.8499999999999
Axis #2,Error,2615.288,2971.057,355.7689999999998
Axis #2,Error,2615.288,2973.007,357.71900000000005
Axis #2,Error,2615.288,2974.873,359.58500000000004
Axis #3,Error,505.093,919.475,414.382
Axis #3,Error,505.093,921.424,416.33099999999996
Axis #3,Error,2624.848,2961.274,336.42599999999993
Axis #3,Error,2624.848,2963.171,338.32299999999987
Axis #3,Error,2624.848,2965.171,340.32299999999987
Axis #3,Error,2624.848,2967.149,342.30099999999993
Axis #3,Error,2624.848,2969.138,344.28999999999996
Axis #3,Error,2624.848,2971.057,346.20899999999983
Axis #3,Error,2624.848,2973.007,348.1590000000001
Axis #3,Error,2624.848,2974.873,350.0250000000001
Axis #3,Error,2624.848,2976.681,351.8330000000001
Axis #3,Error,2624.848,2978.578,353.73
Axis #3,Error,2624.848,2980.453,355.605
